problem_id,problem_name,M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12,M13,M14,M15
P01,Annotation Scarcity and Noisy Supervision,35,4,16,29,12,5,5,14,9,48,0,9,36,52,19
P02,Boundary Ambiguity and Localization Precision,18,15,37,48,33,2,7,21,13,59,3,10,11,43,22
P03,Long-Video Evidence Sparsity and Efficient Selection,10,21,26,33,9,3,4,35,25,48,4,27,5,30,22
P04,"Query Ambiguity, Invalid Queries, and Open-Set Retrieval",1,0,2,10,3,0,11,1,1,10,0,1,0,2,1
P05,"Multi-Moment, Compositional, and Complex Query Grounding",16,4,29,37,8,4,8,10,11,43,3,14,9,36,13
P06,Cross-Modal Semantic Alignment Gap,29,18,41,80,25,6,16,27,14,133,3,40,20,62,39
P07,LLM Temporal Reasoning and Time Output Instability,15,10,22,18,4,3,3,65,9,38,1,24,2,42,36
P08,Domain Shift and Generalization,22,2,9,27,8,3,5,11,6,41,1,16,13,42,13
P09,Scalability and Corpus-Level Retrieval,15,3,14,13,1,1,3,9,6,26,3,9,5,29,15
P10,Spatio-Temporal and Object/Event-Level Grounding,15,5,20,24,5,0,6,26,12,41,3,18,9,37,69
P11,"Dataset, Benchmark, and Evaluation Mismatch",46,7,22,34,10,4,4,24,13,52,2,17,9,81,26
P12,"Uncertainty, Calibration, and Rejection",1,1,5,3,0,8,0,0,1,6,1,1,2,4,1
